Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Fraud_indicator,Hour,DayOfWeek,State_code
Motorcycle,D-106,Regular,Small,0,0,67,0,22,5,AP
Truck,C-103,Regular,Large,330,330,98,0,0,5,GA
Van,B-102,Express,Medium,125,125,50,0,3,6,MH
Sedan,A-101,Regular,Medium,115,115,75,0,5,6,AP
SUV,B-102,Express,Large,145,145,62,0,7,2,GA
Bus ,C-103,Regular,Large,330,330,84,0,9,1,MH
Car,A-101,Express,Small,90,90,55,0,12,2,AP
Motorcycle,D-106,Regular,Small,0,0,80,0,14,3,GA
Truck,C-103,Express,Large,330,330,68,0,16,4,MH
Van,B-102,Regular,Medium,125,125,90,0,18,5,AP
Sedan,A-101,Express,Medium,115,115,48,0,21,6,GA
SUV,B-102,Regular,Large,145,145,77,0,23,0,MH
Bus ,C-103,Express,Large,330,90,63,1,1,2,AP
Car,A-101,Regular,Small,90,90,87,0,3,2,GA
Motorcycle,D-106,Regular,Small,0,0,52,0,6,4,MH
Truck,C-103,Regular,Large,330,330,95,0,8,3,AP
Van,B-102,Express,Medium,125,125,73,0,10,4,GA
Sedan,A-101,Regular,Medium,115,115,82,0,12,5,MH
SUV,B-102,Express,Large,145,145,57,0,15,6,AP
Bus ,C-103,Regular,Large,330,330,96,0,17,0,GA
Car,A-101,Express,Small,90,90,66,0,19,1,MH
Motorcycle,D-106,Regular,Small,0,0,89,0,21,1,AP
Truck,C-103,Express,Large,330,330,51,0,3,2,GA
Van,B-102,Regular,Medium,125,125,76,0,6,3,MH
Sedan,A-101,Express,Medium,115,115,61,0,8,3,AP
SUV,B-102,Regular,Large,145,90,85,1,9,6,GA
Bus ,C-103,Express,Large,330,330,74,0,11,5,MH
Car,A-101,Regular,Small,90,0,93,1,13,6,AP
Motorcycle,D-106,Regular,Small,0,0,49,0,15,6,GA
Truck,C-103,Regular,Large,330,330,83,0,18,0,MH
Van,B-102,Express,Medium,125,125,59,0,22,2,AP
Sedan,A-101,Regular,Medium,115,115,91,0,0,3,GA
SUV,B-102,Express,Large,145,145,71,0,3,4,MH
Bus ,C-103,Regular,Large,330,115,86,1,5,4,AP
Car,A-101,Express,Small,90,90,56,0,7,0,GA
Motorcycle,D-106,Regular,Small,0,0,79,0,9,6,MH
Truck,C-103,Express,Large,330,330,64,0,12,0,AP
Van,B-102,Regular,Medium,125,125,97,0,14,0,GA
Sedan,A-101,Express,Medium,115,115,69,0,16,1,MH
SUV,B-102,Regular,Large,145,145,94,0,18,2,AP
Bus ,C-103,Express,Large,330,330,54,0,21,3,GA
Car,A-101,Regular,Small,90,90,81,0,23,4,MH
Motorcycle,D-106,Regular,Small,0,0,65,0,1,6,AP
Truck,C-103,Regular,Large,330,330,92,0,3,6,GA
Van,B-102,Express,Medium,125,125,50,0,6,1,MH
Sedan,A-101,Regular,Medium,115,115,75,0,8,0,AP
SUV,B-102,Express,Large,145,145,58,0,10,1,GA
Bus ,C-103,Regular,Large,330,330,89,0,12,1,MH
Car,A-101,Express,Small,90,90,44,0,15,2,AP
Motorcycle,D-106,Regular,Small,0,0,78,0,17,3,GA
Truck,C-103,Express,Large,330,330,67,0,19,4,MH
Van,B-102,Regular,Medium,125,125,95,0,21,4,AP
Sedan,A-101,Express,Medium,115,115,55,0,0,5,GA
SUV,B-102,Regular,Large,145,145,80,0,2,5,MH
Bus ,C-103,Express,Large,330,330,62,0,4,1,AP
Car,A-101,Regular,Small,90,90,87,0,6,0,GA
Motorcycle,D-106,Regular,Small,0,0,47,0,9,1,MH
Truck,C-103,Regular,Large,330,115,73,1,11,1,AP
Van,B-102,Express,Medium,125,90,68,1,13,2,GA
Sedan,A-101,Regular,Medium,115,100,91,1,15,3,MH
SUV,B-102,Express,Large,145,145,53,0,18,4,AP
Bus ,C-103,Regular,Large,330,330,82,0,20,4,GA
Car,A-101,Express,Small,90,90,56,0,22,5,MH
Motorcycle,D-106,Regular,Small,0,0,84,0,0,6,AP
Truck,C-103,Express,Large,330,330,69,0,3,1,GA
Van,B-102,Regular,Medium,125,125,94,0,5,0,MH
Sedan,A-101,Express,Medium,115,115,49,0,7,1,AP
SUV,B-102,Regular,Large,145,145,76,0,9,1,GA
Bus ,C-103,Express,Large,330,330,63,0,12,2,MH
Car,A-101,Regular,Small,90,90,88,0,14,3,AP
Motorcycle,D-106,Regular,Small,0,0,74,0,16,4,GA
Truck,C-103,Regular,Large,330,330,96,0,18,4,MH
Van,B-102,Express,Medium,125,125,61,0,21,5,KA
Sedan,A-101,Regular,Medium,115,90,85,1,23,5,KA
SUV,B-102,Express,Large,145,145,52,0,1,1,KA
Bus ,C-103,Regular,Large,330,330,79,0,3,0,KA
Car,A-101,Express,Small,90,90,66,0,6,1,KA
Motorcycle,D-106,Regular,Small,0,0,90,0,8,1,KA
Truck,C-103,Express,Large,330,330,48,0,10,2,KA
Van,B-102,Regular,Medium,125,125,77,0,12,3,KA
Sedan,A-101,Express,Medium,115,115,60,0,15,4,KA
SUV,B-102,Regular,Large,145,145,83,0,17,4,KA
Bus ,C-103,Express,Large,330,330,71,0,19,5,KA
Car,A-101,Regular,Small,90,90,97,0,21,5,KA
Motorcycle,D-106,Regular,Small,0,0,46,0,0,1,KA
Truck,C-103,Regular,Large,330,125,81,1,2,0,KA
Van,B-102,Express,Medium,125,125,64,0,4,1,KA
Sedan,A-101,Regular,Medium,115,60,93,1,6,1,KA
SUV,B-102,Express,Large,145,90,57,1,9,2,KA
Bus ,C-103,Regular,Large,330,330,86,0,11,3,KA
Bus ,A-101,Express,Large,350,350,65,0,5,2,KA
Car,B-102,Regular,Small,120,120,78,0,21,3,KA
Motorcycle,D-104,Regular,Small,0,0,53,0,12,1,KA
Truck,C-103,Regular,Large,350,350,92,0,4,2,KA
Van,B-102,Express,Medium,140,140,60,0,19,0,KA
Sedan,A-101,Regular,Medium,160,160,105,0,11,1,KA
SUV,B-102,Express,Large,180,180,70,0,2,6,KA
Bus ,C-103,Regular,Large,350,160,88,1,17,6,KA
Car,A-101,Express,Small,120,120,45,0,9,4,KA
Motorcycle,D-104,Regular,Small,0,0,72,0,0,6,KA
Truck,C-103,Express,Large,350,350,58,0,16,4,KA
Van,B-102,Regular,Medium,140,140,81,0,7,5,KA
Sedan,A-101,Express,Medium,160,160,67,0,22,6,KA
SUV,B-102,Regular,Large,180,180,98,0,14,4,KA
Bus ,A-101,Express,Large,350,350,50,0,5,5,KA
Car,B-102,Regular,Small,120,120,75,0,21,3,KA
Motorcycle,D-104,Regular,Small,0,0,62,0,12,4,KA
Truck,C-103,Regular,Large,350,350,84,0,4,2,KA
Van,B-102,Express,Medium,140,140,55,0,19,3,KA
Sedan,A-101,Regular,Medium,160,160,80,0,10,1,KA
SUV,B-102,Express,Large,180,180,68,0,2,2,KA
Bus ,C-103,Regular,Large,350,350,90,0,17,0,KA
Car,A-101,Express,Small,120,120,48,0,9,1,KA
Motorcycle,D-104,Regular,Small,0,0,77,0,0,6,KA
Truck,C-103,Express,Large,350,350,63,0,15,0,KA
Van,B-102,Regular,Medium,140,140,87,0,7,5,KA
Sedan,A-101,Express,Medium,160,140,52,1,22,6,KA
SUV,B-102,Regular,Large,180,180,95,0,14,4,KA
Bus ,C-103,Express,Large,350,350,73,0,5,5,KA
Car,A-101,Regular,Small,120,120,82,0,21,4,KA
Motorcycle,D-104,Regular,Small,0,0,57,0,12,1,KA
Truck,C-103,Regular,Large,350,350,96,0,3,2,KA
Van,B-102,Express,Medium,140,140,66,0,19,0,KA
Sedan,A-101,Regular,Medium,160,160,89,0,10,1,KA
SUV,B-102,Express,Large,180,180,51,0,2,2,KA
Bus ,C-103,Regular,Large,350,350,76,0,17,0,KA
Car,A-101,Express,Small,120,0,61,1,9,1,KA
Motorcycle,D-104,Regular,Small,0,0,85,0,0,6,KA
Truck,C-103,Express,Large,350,350,74,0,15,0,KA
Van,B-102,Regular,Medium,140,140,93,0,7,5,KA
Sedan,A-101,Express,Medium,160,160,49,0,22,6,KA
SUV,B-102,Regular,Large,180,180,83,0,14,5,KA
Bus ,C-103,Express,Large,350,90,59,1,5,6,KA
Car,A-101,Regular,Small,120,120,91,0,20,4,KA
Motorcycle,D-104,Regular,Small,0,0,71,0,12,6,KA
Truck,C-103,Regular,Large,350,350,86,0,3,4,KA
Van,B-102,Express,Medium,140,120,56,1,19,5,KA
Sedan,A-101,Regular,Medium,160,160,79,0,10,3,KA
SUV,B-102,Express,Large,180,120,64,1,2,4,KA
Bus ,C-103,Regular,Large,350,350,97,0,17,2,KA
Car,A-101,Express,Small,120,120,69,0,8,3,KA
Motorcycle,D-104,Regular,Small,0,0,94,0,0,3,KA
Truck,C-103,Express,Large,350,350,54,0,15,6,KA
Van,B-102,Regular,Medium,140,140,81,0,7,3,KA
Sedan,A-101,Express,Medium,160,160,65,0,22,4,KA
SUV,B-102,Regular,Large,180,180,92,0,14,3,KA
Bus ,C-103,Express,Large,350,350,50,0,6,4,KA
Car,A-101,Regular,Small,120,120,75,0,21,2,KA
Motorcycle,D-104,Regular,Small,0,0,58,0,13,4,KA
Truck,C-103,Regular,Large,350,350,89,0,4,2,KA
Van,B-102,Express,Medium,140,140,44,0,20,3,KA
Sedan,A-101,Regular,Medium,160,160,78,0,11,1,KA
SUV,B-102,Express,Large,180,180,67,0,2,2,KA
Bus ,C-103,Regular,Large,350,350,95,0,18,0,KA
Car,A-101,Express,Small,120,120,55,0,9,1,KA
Motorcycle,D-104,Regular,Small,0,0,80,0,1,6,KA
Truck,C-103,Express,Large,350,350,62,0,16,0,KA
Van,B-102,Regular,Medium,140,120,87,1,8,5,KA
Sedan,A-101,Express,Medium,160,160,47,0,23,6,KA
SUV,B-102,Regular,Large,180,100,73,1,14,4,KA
Bus ,C-103,Express,Large,350,120,68,1,6,5,KA
Car,A-101,Regular,Small,120,120,91,0,21,3,KA
Motorcycle,D-104,Regular,Small,0,0,53,0,13,5,KA
Truck,C-103,Regular,Large,350,350,82,0,4,5,KA
Van,B-102,Express,Medium,140,140,56,0,20,1,KA
Sedan,A-101,Regular,Medium,160,160,84,0,12,5,KA
SUV,B-102,Express,Large,180,180,69,0,3,6,KA
Bus ,C-103,Regular,Large,350,350,94,0,19,4,KA
Car,A-101,Express,Small,120,120,49,0,10,6,KA
Motorcycle,D-104,Regular,Small,0,0,76,0,2,4,KA
Truck,C-103,Express,Large,350,350,63,0,17,5,KA
Van,B-102,Regular,Medium,140,140,88,0,8,4,KA
Sedan,A-101,Express,Medium,160,160,74,0,0,5,KA
SUV,B-102,Regular,Large,180,180,96,0,15,3,KA
Bus ,C-103,Express,Large,350,350,61,0,7,4,KA
Car,A-101,Regular,Small,120,100,85,1,22,2,KA
Motorcycle,D-104,Regular,Small,0,0,52,0,14,4,KA
Truck,C-103,Regular,Large,350,350,79,0,6,2,KA
Van,B-102,Express,Medium,140,140,66,0,21,3,KA
Sedan,A-101,Regular,Medium,160,160,90,0,13,1,KA
SUV,B-102,Express,Large,180,180,48,0,4,2,KA
Bus ,C-103,Regular,Large,350,350,77,0,20,0,KA
Car,A-101,Express,Small,120,120,60,0,11,1,KA
Motorcycle,D-104,Regular,Small,0,0,83,0,2,6,KA
Truck,C-103,Express,Large,350,350,71,0,18,6,KA
Van,B-102,Regular,Medium,140,140,97,0,9,4,KA
Sedan,A-101,Express,Medium,160,160,46,0,1,6,KA
SUV,B-102,Regular,Large,180,180,81,0,16,4,KA
Bus ,C-103,Express,Large,350,350,64,0,8,5,KA
Car,A-101,Regular,Small,120,120,93,0,23,6,KA
Motorcycle,D-104,Regular,Small,0,0,57,0,23,6,KA
Truck,C-103,Regular,Large,350,350,86,0,15,1,KA
Van,B-102,Express,Medium,140,120,55,1,6,6,KA
Sedan,A-101,Regular,Medium,160,160,82,0,22,0,KA
SUV,B-102,Express,Large,180,180,63,0,13,5,KA
Bus ,C-103,Regular,Large,350,350,90,0,5,3,KA
Car,A-101,Express,Small,120,120,48,0,20,4,KA
Motorcycle,D-104,Regular,Small,0,0,76,0,11,3,KA
Truck,C-103,Express,Large,350,350,58,0,3,4,KA
Van,B-102,Regular,Medium,140,140,87,0,18,2,KA
Sedan,A-101,Express,Medium,160,120,67,1,10,4,KA
SUV,B-102,Regular,Large,180,140,94,1,1,2,KA
Bus ,C-103,Express,Large,350,350,71,0,17,3,KA
Car,A-101,Regular,Small,120,0,89,1,8,1,KA
Motorcycle,D-104,Regular,Small,0,0,52,0,23,2,KA
Truck,C-103,Regular,Large,350,350,79,0,15,0,KA
Van,B-102,Express,Medium,140,140,66,0,6,1,KA
Sedan,A-101,Regular,Medium,160,160,95,0,22,6,KA
SUV,B-102,Express,Large,180,180,44,0,13,1,KA
Bus ,C-103,Regular,Large,350,350,78,0,4,6,KA
Car,A-101,Express,Small,120,120,61,0,20,6,KA
Motorcycle,D-104,Regular,Small,0,0,85,0,11,4,KA
Truck,C-103,Express,Large,350,350,49,0,3,5,KA
Van,B-102,Regular,Medium,140,140,74,0,18,3,KA
Sedan,A-101,Express,Medium,160,160,69,0,10,5,KA
SUV,B-102,Regular,Large,180,180,92,0,1,6,KA
Bus ,C-103,Express,Large,350,350,57,0,16,4,KA
Car,A-101,Regular,Small,120,100,83,1,8,5,KA
Motorcycle,D-104,Regular,Small,0,0,68,0,23,3,KA
Truck,C-103,Regular,Large,350,350,96,0,15,5,KA
Van,B-102,Express,Medium,140,120,46,1,6,3,KA
Sedan,A-101,Regular,Medium,160,160,81,0,21,4,KA
SUV,B-102,Express,Large,180,180,60,0,13,2,KA
Bus ,C-103,Regular,Large,350,350,88,0,4,3,KA
Car,A-101,Express,Small,120,120,53,0,20,1,KA
Motorcycle,D-104,Regular,Small,0,0,77,0,11,3,KA
Truck,C-103,Express,Large,350,160,64,1,3,1,KA
Van,B-102,Regular,Medium,140,140,91,0,18,2,KA
Sedan,A-101,Express,Medium,160,160,50,0,9,0,KA
SUV,B-102,Regular,Large,180,180,75,0,1,1,KA
Bus ,C-103,Express,Large,350,350,59,0,16,6,KA
Car,A-101,Regular,Small,120,120,84,0,8,0,KA
Motorcycle,D-105,Regular,Small,0,0,66,0,23,0,KA
Truck,C-103,Regular,Large,350,350,93,0,15,4,KA
Van,B-102,Express,Medium,140,140,45,0,6,5,KA
Sedan,A-101,Regular,Medium,160,160,80,0,21,3,KA
SUV,B-102,Express,Large,180,90,62,1,13,5,KA
Bus ,C-103,Regular,Large,350,350,86,0,4,6,KA
Car,A-101,Express,Small,120,120,51,0,20,4,KA
Motorcycle,D-105,Regular,Small,0,0,73,0,11,6,KA
Truck,C-103,Express,Large,350,350,56,0,2,4,KA
Van,B-102,Regular,Medium,140,140,82,0,18,5,KA
Sedan,A-101,Express,Medium,160,160,70,0,9,3,KA
SUV,B-102,Regular,Large,180,180,97,0,1,4,KA
Bus ,C-103,Express,Large,350,350,47,0,16,2,KA
Car,A-101,Regular,Small,120,0,84,1,8,4,KA
Motorcycle,D-105,Regular,Small,0,0,65,0,23,2,KA
Truck,C-103,Regular,Large,350,350,92,0,14,4,KA
Van,B-102,Express,Medium,140,140,53,0,6,2,KA
Sedan,A-101,Regular,Medium,160,160,79,0,21,3,KA
SUV,B-102,Express,Large,180,120,61,1,13,1,KA
Bus ,C-103,Regular,Large,350,350,89,0,4,2,KA
Car,A-101,Express,Small,120,120,44,0,19,0,KA
Motorcycle,D-105,Regular,Small,0,0,78,0,11,2,KA
Truck,C-103,Express,Large,350,350,67,0,2,3,KA
Van,B-102,Regular,Medium,140,120,95,1,18,6,KA
Sedan,A-101,Express,Medium,160,160,55,0,9,3,KA
SUV,B-102,Regular,Large,180,180,80,0,1,4,KA
Bus ,C-103,Express,Large,350,350,62,0,16,2,KA
Car,A-101,Regular,Small,120,120,87,0,7,3,KA
Motorcycle,D-105,Regular,Small,0,0,47,0,23,1,KA
Truck,C-103,Regular,Large,350,350,73,0,14,3,KA
Van,B-102,Express,Medium,140,140,68,0,6,1,KA
Sedan,A-101,Regular,Medium,160,160,91,0,21,2,KA
SUV,B-102,Express,Large,180,90,52,1,13,0,KA
Bus ,C-103,Regular,Large,350,350,82,0,4,1,KA
Car,A-101,Express,Small,120,120,56,0,19,6,KA
Motorcycle,D-105,Regular,Small,0,0,84,0,11,1,KA
Truck,C-103,Express,Large,350,350,69,0,2,6,KA
Van,B-102,Regular,Medium,140,140,94,0,18,0,KA
Sedan,A-101,Express,Medium,160,160,49,0,9,5,KA
SUV,B-102,Regular,Large,180,180,76,0,0,6,KA
Bus ,C-103,Express,Large,350,350,63,0,16,4,KA
Car,A-101,Regular,Small,120,120,88,0,7,5,KA
Motorcycle,D-105,Regular,Small,0,0,74,0,23,3,KA
Truck,C-103,Regular,Large,350,350,96,0,14,5,KA
Van,B-102,Express,Medium,140,140,61,0,6,5,KA
Sedan,A-101,Regular,Medium,160,140,85,1,21,1,KA
SUV,B-102,Express,Large,180,180,52,0,12,6,KA
Bus ,C-103,Regular,Large,350,350,79,0,4,0,KA
Car,A-101,Express,Small,120,120,66,0,19,4,KA
Motorcycle,D-105,Regular,Small,0,0,90,0,11,6,KA
Truck,C-103,Express,Large,350,350,48,0,2,4,KA
Van,B-102,Regular,Medium,140,60,77,1,17,5,KA
Sedan,A-101,Express,Medium,160,160,60,0,9,4,KA
SUV,B-102,Regular,Large,180,180,83,0,0,5,KA
Bus ,C-103,Express,Large,350,350,71,0,16,3,KA
Car,A-101,Regular,Small,120,120,97,0,7,4,KA
Motorcycle,D-105,Regular,Small,0,0,46,0,23,2,KA
Truck,C-103,Regular,Large,350,350,81,0,14,4,KA
Van,B-102,Express,Medium,140,140,64,0,18,3,KA
Sedan,A-101,Regular,Medium,160,160,93,0,9,0,KA
SUV,B-102,Express,Large,180,180,57,0,1,1,KA
Bus ,C-103,Regular,Large,350,350,86,0,16,6,KA
Car,A-101,Express,Small,120,120,55,0,7,0,KA
Motorcycle,D-105,Regular,Small,0,0,82,0,23,5,KA
Truck,C-103,Express,Large,350,350,63,0,14,6,KA
Van,B-102,Regular,Medium,140,120,90,1,6,4,KA
Sedan,A-101,Express,Medium,160,160,48,0,21,5,KA
SUV,B-102,Regular,Large,180,180,76,0,12,3,KA
Bus ,C-103,Express,Large,350,120,58,1,4,4,KA
Car,A-101,Regular,Small,120,120,87,0,19,2,KA
Motorcycle,D-105,Regular,Small,0,0,67,0,11,3,KA
Truck,C-103,Regular,Large,350,350,94,0,2,6,KA
Van,B-102,Express,Medium,140,140,71,0,18,3,KA
Sedan,A-101,Regular,Medium,160,60,89,1,9,4,KA
SUV,B-102,Express,Large,180,180,52,0,0,2,KA
Bus ,C-103,Regular,Large,350,350,79,0,16,3,KA
Car,A-101,Express,Small,120,120,66,0,7,4,KA
Motorcycle,D-105,Regular,Small,0,0,95,0,23,2,KA
Truck,C-103,Express,Large,350,350,44,0,14,4,KA
Van,B-102,Regular,Medium,140,140,78,0,5,2,KA
Sedan,A-101,Express,Medium,160,160,61,0,21,3,KA
SUV,B-102,Regular,Large,180,180,85,0,12,1,KA
Bus ,C-103,Express,Large,350,350,49,0,4,2,KA
Car,A-101,Regular,Small,120,90,74,1,19,0,KA
Motorcycle,D-105,Regular,Small,0,0,69,0,11,1,KA
Truck,C-103,Regular,Large,350,350,92,0,2,6,KA
Van,B-102,Express,Medium,140,140,57,0,17,0,KA
Sedan,A-101,Regular,Medium,160,160,83,0,9,5,KA
SUV,B-102,Express,Large,180,180,68,0,0,6,KA
Bus ,C-103,Regular,Large,350,350,96,0,16,4,KA
Car,A-101,Express,Small,120,120,46,0,7,5,KA
Motorcycle,D-105,Regular,Small,0,0,81,0,22,3,KA
Truck,C-103,Express,Large,350,350,60,0,14,4,KA
Van,B-102,Regular,Medium,140,140,88,0,5,0,KA
Sedan,A-101,Express,Medium,160,160,53,0,21,4,KA
SUV,B-102,Regular,Large,180,120,77,1,12,6,KA
Bus ,C-103,Express,Large,350,350,64,0,4,5,KA
Car,A-101,Regular,Small,120,0,91,1,19,6,KA
Motorcycle,D-105,Regular,Small,0,0,50,0,10,4,KA
Truck,C-103,Regular,Large,350,350,75,0,2,5,KA
Van,B-102,Express,Medium,140,140,59,0,17,3,KA
Sedan,A-101,Regular,Medium,160,160,84,0,9,4,KA
SUV,B-102,Express,Large,180,180,66,0,0,2,KA
Bus ,C-103,Regular,Large,350,350,93,0,15,3,KA
Car,A-101,Express,Small,120,120,45,0,7,0,KA
Motorcycle,D-105,Regular,Small,0,0,80,0,22,1,KA
Truck,C-103,Express,Large,350,350,62,0,14,6,KA
Van,B-102,Regular,Medium,140,140,86,0,5,0,KA
Sedan,A-101,Express,Medium,160,160,51,0,21,5,KA
SUV,B-102,Regular,Large,180,90,73,1,12,6,KA
Bus ,C-103,Express,Large,350,350,56,0,3,4,KA
Car,A-101,Regular,Small,120,120,82,0,19,5,KA
Motorcycle,D-105,Regular,Small,0,0,70,0,10,4,KA
Truck,C-103,Regular,Large,350,350,97,0,2,5,KA
Van,B-102,Express,Medium,140,140,47,0,17,5,KA
Sedan,A-101,Regular,Medium,160,120,84,1,8,1,KA
SUV,B-102,Express,Large,180,180,65,0,0,5,KA
Bus ,C-103,Regular,Large,350,350,92,0,15,2,KA
Car,A-101,Express,Small,120,120,53,0,7,0,KA
Motorcycle,D-105,Regular,Small,0,0,79,0,22,2,KA
Truck,C-103,Express,Large,350,350,61,0,14,1,KA
Van,B-102,Regular,Medium,140,120,89,1,5,2,KA
Sedan,A-101,Express,Medium,160,160,44,0,20,0,KA
SUV,B-102,Regular,Large,180,180,78,0,12,1,KA
Bus ,C-103,Express,Large,350,350,67,0,3,6,KA
Car,A-101,Regular,Small,120,120,95,0,19,0,KA
Motorcycle,D-105,Regular,Small,0,0,55,0,10,5,KA
Truck,C-103,Regular,Large,350,350,80,0,1,6,KA
Van,B-102,Express,Medium,140,140,62,0,17,4,KA
Sedan,A-101,Regular,Medium,160,160,87,0,8,5,KA
SUV,B-102,Express,Large,180,180,47,0,0,3,KA
Bus ,C-103,Regular,Large,350,350,73,0,15,4,KA
Car,A-101,Express,Small,120,120,68,0,7,2,KA
Motorcycle,D-105,Regular,Small,0,0,91,0,22,3,KA
Truck,C-103,Express,Large,350,350,52,0,13,1,KA
Van,B-102,Regular,Medium,140,140,82,0,5,1,KA
Sedan,A-101,Express,Medium,160,160,56,0,20,4,KA
SUV,B-102,Regular,Large,180,140,84,1,12,2,KA
Bus ,C-103,Express,Large,350,350,69,0,3,3,KA
Car,A-101,Regular,Small,120,120,94,0,18,1,KA
Motorcycle,D-105,Regular,Small,0,0,49,0,10,2,KA
Truck,C-103,Regular,Large,350,120,76,1,1,0,KA
Van,B-102,Express,Medium,140,140,63,0,17,1,KA
Sedan,A-101,Regular,Medium,160,160,88,0,8,6,KA
SUV,B-102,Express,Large,180,180,74,0,0,0,KA
Bus ,C-103,Regular,Large,350,90,96,1,15,5,KA
Car,A-101,Express,Small,120,120,61,0,6,6,KA
Motorcycle,D-105,Regular,Small,0,0,85,0,22,4,KA
Truck,C-103,Express,Large,350,350,52,0,13,6,KA
Van,B-102,Regular,Medium,140,140,79,0,5,1,KA
Sedan,A-101,Express,Medium,160,160,66,0,20,6,KA
SUV,B-102,Regular,Large,180,180,90,0,12,0,KA
Bus ,C-103,Express,Large,350,350,48,0,3,5,KA
Car,A-101,Regular,Small,120,120,77,0,18,6,KA
Motorcycle,D-105,Regular,Small,0,0,60,0,10,4,KA
Truck,C-103,Regular,Large,350,350,83,0,1,5,KA
Van,B-102,Express,Medium,140,140,71,0,17,3,KA
Sedan,A-101,Regular,Medium,160,160,97,0,8,3,KA
SUV,B-102,Express,Large,180,180,46,0,12,1,KA
Bus ,C-103,Regular,Large,350,350,81,0,4,6,KA
Car,A-101,Express,Small,120,120,64,0,19,0,KA
Motorcycle,D-105,Regular,Small,0,0,93,0,10,6,KA
Truck,C-103,Express,Large,350,350,57,0,2,6,KA
Van,B-102,Regular,Medium,140,140,86,0,17,2,KA
Sedan,A-101,Express,Medium,160,160,55,0,9,0,KA
SUV,B-102,Regular,Large,180,160,82,1,0,1,KA
Bus ,C-103,Express,Large,350,350,63,0,16,6,KA
Car,A-101,Regular,Small,120,0,90,1,7,1,KA
Motorcycle,D-105,Regular,Small,0,0,48,0,22,6,KA
Truck,C-103,Regular,Large,350,350,76,0,14,1,KA
Van,B-102,Express,Medium,140,140,58,0,5,6,KA
Sedan,A-101,Regular,Medium,160,140,87,1,21,0,KA
SUV,B-102,Express,Large,180,180,67,0,12,1,KA
Bus ,C-103,Regular,Large,350,350,94,0,3,5,KA
Car,A-101,Express,Small,120,120,71,0,19,6,KA
Motorcycle,D-105,Regular,Small,0,0,89,0,10,4,KA
Truck,C-103,Express,Large,350,350,52,0,2,5,KA
Van,B-102,Regular,Medium,140,120,79,1,17,3,KA
Sedan,A-101,Express,Medium,160,160,66,0,9,4,KA
SUV,B-102,Regular,Large,180,180,95,0,0,2,KA
Bus ,C-103,Express,Large,350,350,44,0,15,3,KA
Car,A-101,Regular,Small,120,90,78,1,7,1,KA
Motorcycle,D-105,Regular,Small,0,0,61,0,22,2,KA
Truck,C-103,Regular,Large,350,140,85,1,14,6,KA
Van,B-102,Express,Medium,140,140,49,0,5,4,KA
Sedan,A-101,Regular,Medium,160,160,74,0,20,5,KA
SUV,B-102,Express,Large,180,120,69,1,12,3,KA
Bus ,C-103,Regular,Large,350,350,92,0,3,4,KA
Car,A-101,Express,Small,120,0,57,1,19,2,KA
Motorcycle,D-105,Regular,Small,0,0,83,0,10,4,KA
Truck,C-103,Express,Large,350,350,68,0,2,2,KA
Van,B-102,Regular,Medium,140,140,96,0,17,3,KA
Sedan,A-101,Express,Medium,160,160,46,0,8,1,KA
SUV,B-102,Regular,Large,180,180,81,0,0,2,KA
Bus ,C-103,Express,Large,350,350,60,0,15,6,KA
Car,A-101,Regular,Small,120,120,88,0,7,0,KA
Motorcycle,D-105,Regular,Small,0,0,53,0,22,5,KA
Truck,C-103,Regular,Large,350,350,77,0,13,0,KA
Van,B-102,Express,Medium,140,120,64,1,5,5,KA
Sedan,A-101,Regular,Medium,160,160,91,0,20,6,KA
SUV,B-102,Express,Large,180,180,50,0,12,4,KA
Bus ,C-103,Regular,Large,350,160,75,1,3,5,KA
Car,A-101,Express,Small,120,120,59,0,19,3,KA
Motorcycle,D-105,Regular,Small,0,0,84,0,10,1,KA
Truck,C-103,Express,Large,350,350,66,0,1,2,KA
Van,B-102,Regular,Medium,140,140,93,0,17,3,KA
Sedan,A-101,Express,Medium,160,160,45,0,8,6,KA
SUV,B-102,Regular,Large,180,160,80,1,0,4,KA
Bus ,C-103,Express,Large,350,350,62,0,15,5,KA
Car,A-101,Regular,Small,120,120,86,0,6,4,KA
Motorcycle,D-105,Regular,Small,0,0,51,0,22,5,KA
Truck,C-103,Regular,Large,350,350,73,0,13,3,KA
Van,B-102,Express,Medium,140,100,56,1,5,4,KA
Sedan,A-101,Regular,Medium,160,160,82,0,20,2,KA
SUV,B-102,Express,Large,180,180,70,0,12,3,KA
Bus ,C-103,Regular,Large,350,350,97,0,3,1,KA
Car,A-101,Express,Small,120,120,47,0,18,2,KA
Motorcycle,D-105,Regular,Small,0,0,84,0,10,0,KA
Truck,C-103,Express,Large,350,350,65,0,1,2,KA
Van,B-102,Regular,Medium,140,140,92,0,17,0,KA
Sedan,A-101,Express,Medium,160,120,53,1,8,1,KA
SUV,B-102,Regular,Large,180,180,79,0,23,6,KA
Bus ,C-103,Express,Large,350,350,61,0,15,1,KA
Car,A-101,Regular,Small,120,120,89,0,6,6,KA
Motorcycle,D-105,Regular,Small,0,0,44,0,22,0,KA
Truck,C-103,Regular,Large,350,350,78,0,13,6,KA
Van,B-102,Express,Medium,140,140,67,0,5,6,KA
